University,Men Soccer Roster URL
American University,https://aueagles.com/sports/mens-soccer/roster?view=1
Bellarmine University,https://athletics.bellarmine.edu/sports/mens-soccer/roster?view=1
Belmont University,https://belmontbruins.com/sports/mens-soccer/roster?view=1
Boston University,https://goterriers.com/sports/mens-soccer/roster?view=1
Bowling Green State University,https://bgsufalcons.com/sports/mens-soccer/roster?view=1
Bradley University,https://bradleybraves.com/sports/mens-soccer/roster?view=1
Brown University,https://brownbears.com/sports/mens-soccer/roster?view=1
Bryant University,https://bryantbulldogs.com/sports/mens-soccer/roster?view=1
Bucknell University,https://bucknellbison.com/sports/mens-soccer/roster?view=1
Butler University,https://butlersports.com/sports/mens-soccer/roster?view=1
California Baptist University,https://cbulancers.com/sports/mens-soccer/roster?view=1
California Polytechnic State University – San Luis Obispo,https://gopoly.com/sports/mens-soccer/roster?view=1
California State University – Fullerton,https://fullertontitans.com/sports/mens-soccer/roster?view=1
California State University – Northridge,https://gomatadors.com/sports/mens-soccer/roster?view=1
California State University – Sacramento,https://hornetsports.com/sports/mens-soccer/roster?view=1
Campbell University,https://gocamels.com/sports/mens-soccer/roster?view=1
Canisius University,https://gogriffs.com/sports/mens-soccer/roster?view=1
Central Connecticut State University,https://ccsubluedevils.com/sports/msoc/2024-25/roster?view=1
Chicago State University,https://www.gocsucougars.com/sports/mens-soccer/roster?view=1
Clemson University,https://clemsontigers.com/sports/mens-soccer/roster?view=1
Cleveland State University,https://csuvikings.com/sports/mens-soccer/roster?view=1
Coastal Carolina University,https://goccusports.com/sports/mens-soccer/roster?view=1
Colgate University,https://colgateathletics.com/sports/mens-soccer/roster?view=1
College of Charleston,https://cofcsports.com/sports/mens-soccer/roster?view=1
College of the Holy Cross,https://goholycross.com/sports/mens-soccer/roster?view=1
Columbia University,https://gocolumbialions.com/sports/mens-soccer/roster?view=1
Cornell University,https://cornellbigred.com/sports/mens-soccer/roster?view=1
Creighton University,https://gocreighton.com/sports/mens-soccer/roster?view=1
Dartmouth College,https://dartmouthsports.com/sports/mens-soccer/roster?view=1
Davidson College,https://davidsonwildcats.com/sports/mens-soccer/roster?view=1
DePaul University,https://depaulbluedemons.com/sports/mens-soccer/roster?view=1
Drake University,https://godrakebulldogs.com/sports/mens-soccer/roster?view=1
Drexel University,https://drexeldragons.com/sports/mens-soccer/roster?view=1
Duke University,https://goduke.com/sports/mens-soccer/roster?view=1
Duquesne University,https://goduquesne.com/sports/mens-soccer/roster?view=1
East Tennessee State University,https://etsubucs.com/sports/mens-soccer/roster?view=1
Eastern Illinois University,https://eiupanthers.com/sports/mens-soccer/roster?view=1
Elon University,https://elonphoenix.com/sports/mens-soccer/roster?view=1
Fairfield University,https://fairfieldstags.com/sports/mens-soccer/roster?view=1
Fairleigh Dickinson University,https://fduknights.com/sports/mens-soccer/roster?view=1
Florida Atlantic University,https://fausports.com/sports/mens-soccer/roster?view=1
Florida Gulf Coast University,https://fgcuathletics.com/sports/mens-soccer/roster?view=1
Florida International University,https://fiusports.com/sports/mens-soccer/roster?view=1
Fordham University,https://fordhamsports.com/sports/mens-soccer/roster?view=1
Formerly Dixie State University,https://utahtechtrailblazers.com/sports/mens-soccer/roster?view=1
Furman University,https://furmanpaladins.com/sports/mens-soccer/roster?view=1
Gardner-Webb University,https://gwusports.com/sports/mens-soccer/roster?view=1
George Mason University,https://gomason.com/sports/mens-soccer/roster?view=1
George Washington University,https://gwsports.com/sports/mens-soccer/roster?view=1
Georgetown University,https://guhoyas.com/sports/mens-soccer/roster?view=1
Georgia Southern University,https://gseagles.com/sports/mens-soccer/roster?view=1
Georgia State University,https://georgiastatesports.com/sports/mens-soccer/roster?view=1
Gonzaga University,https://gozags.com/sports/mens-soccer/roster?view=1
Grand Canyon University,https://gculopes.com/sports/mens-soccer/roster?view=1
Harvard University,https://gocrimson.com/sports/mens-soccer/roster?view=1
High Point University,https://highpointpanthers.com/sports/mens-soccer/roster?view=1
Hofstra University,https://gohofstra.com/sports/mens-soccer/roster?view=1
Houston Christian University,https://hcuhuskies.com/sports/mens-soccer/roster?view=1
Howard University,https://hubison.com/sports/mens-soccer/roster?view=1
Indiana University,https://iuhoosiers.com/sports/mens-soccer/roster?view=1
Indiana University-Purdue University – Indianapolis (IUPUI),https://iuindyjags.com/sports/mens-soccer/roster?view=1
Iona University,https://ionagaels.com/sports/mens-soccer/roster?view=1
James Madison University,https://jmusports.com/sports/mens-soccer/roster?view=1
La Salle University,https://goexplorers.com/sports/mens-soccer/roster?view=1
Lafayette College,https://goleopards.com/sports/mens-soccer/roster?view=1
Le Moyne College,https://lemoynedolphins.com/sports/mens-soccer/roster?view=1
Lehigh University,https://lehighsports.com/sports/mens-soccer/roster?view=1
Liberty University,https://libertyflames.com/sports/mens-soccer/roster?view=1
Lindenwood University,https://lindenwoodlions.com/sports/mens-soccer/roster?view=1
Lipscomb University,https://lipscombsports.com/sports/mens-soccer/roster?view=1
Long Island University,https://www.liuathletics.com/sports/mens-soccer/roster?view=1
Longwood University,https://longwoodlancers.com/sports/mens-soccer/roster?view=1
Loyola Marymount University,https://lmulions.com/sports/mens-soccer/roster?view=1
Loyola University Chicago,https://loyolaramblers.com/sports/mens-soccer/roster?view=1
Loyola University Maryland,https://loyolagreyhounds.com/sports/mens-soccer/roster?view=1
Manhattan University,https://gojaspers.com/sports/mens-soccer/roster?view=1
Marist College,https://goredfoxes.com/sports/mens-soccer/roster?view=1
Marquette University,https://gomarquette.com/sports/mens-soccer/roster?view=1
Marshall University,https://herdzone.com/sports/mens-soccer/roster?view=1
Mercer University,https://mercerbears.com/sports/mens-soccer/roster?view=1
Mercyhurst University,https://hurstathletics.com/sports/mens-soccer/roster?view=1
Merrimack College,https://merrimackathletics.com/sports/mens-soccer/roster?view=1
Michigan State University,https://msuspartans.com/sports/mens-soccer/roster?view=1
Missouri State University,https://missouristatebears.com/sports/mens-soccer/roster?view=1
Monmouth University,https://monmouthhawks.com/sports/mens-soccer/roster?view=1
Mount St. Mary's University,https://mountathletics.com/sports/mens-soccer/roster?view=1
New Jersey Institute of Technology,https://njithighlanders.com/sports/mens-soccer/roster?view=1
Niagara University,https://purpleeagles.com/sports/mens-soccer/roster?view=1
North Carolina State University,https://gopack.com/sports/mens-soccer/roster?view=1
Northeastern University,https://nuhuskies.com/sports/mens-soccer/roster?view=1
Northern Kentucky University,https://nkunorse.com/sports/mens-soccer/roster?view=1
Northwestern University,https://nusports.com/sports/mens-soccer/roster?view=1
Oakland University,https://goldengrizzlies.com/sports/mens-soccer/roster?view=1
Ohio State University,https://ohiostatebuckeyes.com/sports/mens-soccer/roster?view=1
Old Dominion University,https://odusports.com/sports/mens-soccer/roster?view=1
Oral Roberts University,https://oruathletics.com/sports/mens-soccer/roster?view=1
Oregon State University,https://osubeavers.com/sports/mens-soccer/roster?view=1
Penn State,https://gopsusports.com/sports/mens-soccer/roster?view=1
Presbyterian College,https://gobluehose.com/sports/mens-soccer/roster?view=1
Princeton University,https://goprincetontigers.com/sports/mens-soccer/roster?view=1
Providence College,https://friars.com/sports/mens-soccer/roster?view=1
Purdue University – Fort Wayne,https://gomastodons.com/sports/mens-soccer/roster?view=1
Queens University of Charlotte,https://queensathletics.com/sports/mens-soccer/roster?view=1
Quinnipiac University,https://gobobcats.com/sports/mens-soccer/roster?view=1
Radford University,https://radfordathletics.com/sports/mens-soccer/roster?view=1
Robert Morris University – Pennsylvania,https://rmucolonials.com/sports/mens-soccer/roster?view=1
Rutgers University,https://scarletknights.com/sports/mens-soccer/roster?view=1
Sacred Heart University,https://sacredheartpioneers.com/sports/mens-soccer/roster?view=1
Saint Joseph's University,https://sjuhawks.com/sports/mens-soccer/roster?view=1
Saint Louis University,https://slubillikens.com/sports/mens-soccer/roster?view=1
Saint Peter's University,https://saintpeterspeacocks.com/sports/mens-soccer/roster?view=1
San Diego State University,https://goaztecs.com/sports/mens-soccer/roster?view=1
San Jose State University,https://sjsuspartans.com/sports/mens-soccer/roster?view=1
Seattle University,https://spufalcons.com/sports/mens-soccer/roster?view=1
Seton Hall University,https://shupirates.com/sports/mens-soccer/roster?view=1
Siena College,https://sienasaints.com/sports/mens-soccer/roster?view=1
Southern Methodist University – SMU,https://smumustangs.com/sports/mens-soccer/roster?view=1
St. Bonaventure University,https://gobonnies.com/sports/mens-soccer/roster?view=1
St. John's University – New York,https://gojohnnies.com/sports/mens-soccer/roster?view=1
Stanford University,https://gostanford.com/sports/mens-soccer/roster?view=1
Stetson University,https://gohatters.com/sports/mens-soccer/roster?view=1
