University,WebSite
Abilene Christian University,https://acusports.com/sports/womens-soccer/roster?view=1
Alabama A&M University,https://aamusports.com/sports/womens-soccer/roster?view=1
Alabama State University,https://bamastatesports.com/sports/womens-soccer/roster?view=1
Alcorn State University,https://alcornsports.com/sports/womens-soccer/roster?view=1
American University,https://aueagles.com/sports/womens-soccer/roster?view=1
Appalachian State University,https://appstatesports.com/sports/womens-soccer/roster?view=1
Arizona State University,https://thesundevils.com/sports/womens-soccer/roster?view=1
Arkansas State University,https://astateredwolves.com/sports/womens-soccer/roster?view=1
Auburn University,https://auburntigers.com/sports/soccer/roster?view=1
Austin Peay State University,https://letsgopeay.com/sports/womens-soccer/roster?view=1
Ball State University,https://ballstatesports.com/sports/womens-soccer/roster?view=1
Baylor University,https://baylorbears.com/sports/womens-soccer/roster?view=1
Bellarmine University,https://athletics.bellarmine.edu/sports/womens-soccer/roster?view=1
Boise State University,https://broncosports.com/sports/womens-soccer/roster?view=1
Boston College,https://bceagles.com/sports/womens-soccer/roster?view=1
Boston University,https://goterriers.com/sports/womens-soccer/roster?view=1
Bowling Green State University,https://bgsufalcons.com/sports/womens-soccer/roster?view=1
Brigham Young University,https://byucougars.com/sports/womens-soccer/roster?view=1
Brown University,https://brownbears.com/sports/womens-soccer/roster?view=1
Bryant University,https://bryantbulldogs.com/sports/womens-soccer/roster?view=1
Bucknell University,https://bucknellbison.com/sports/womens-soccer/roster?view=1
California Baptist University,https://cbulancers.com/sports/womens-soccer/roster?view=1
California Polytechnic State University – San Luis Obispo,https://gopoly.com/sports/womens-soccer/roster?view=1
California State University – Bakersfield,https://gorunners.com/sports/womens-soccer/roster?view=1
California State University – Fresno,https://gobulldogs.com/sports/womens-soccer/roster?view=1
California State University – Fullerton,https://fullertontitans.com/sports/womens-soccer/roster?view=1
California State University – Northridge,https://gomatadors.com/sports/womens-soccer/roster?view=1
California State University – Sacramento,https://hornetsports.com/sports/womens-soccer/roster?view=1
Campbell University,https://gocamels.com/sports/womens-soccer/roster?view=1
Canisius University,https://gogriffs.com/sports/womens-soccer/roster?view=1
Central Michigan University,https://cmuchippewas.com/sports/womens-soccer/roster?view=1
Charleston Southern University,https://csusports.com/sports/womens-soccer/roster?view=1
Chicago State University,https://www.gocsucougars.com/sports/womens-soccer/roster?view=1
Clemson University,https://clemsontigers.com/sports/womens-soccer/roster?view=1/
Cleveland State University,https://csuvikings.com/sports/womens-soccer/roster?view=1
Coastal Carolina University,https://goccusports.com/sports/womens-soccer/roster?view=1
